Phylogenetic_Order,Megaclass,Superclass,Class,Subclass,Infraclass,Megacohort,Supercohort,Cohort,Subcohort,Infracohort,Section,Subsection,Division,Subdivision,Series,Subseries,Superorder,Order,Suborder,Infraorder,Family,Validity,Examined/not examined,Monophyly,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Perciformes,Notothenioidei,,Bovichtidae,Valid,Examined,Yes,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Lophiiformes,Antennarioidei,,Brachionichthyidae,Valid,Not examined,_,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Incertae sedis in Eupercaria,,,Callanthiidae,Valid,Examined,Yes,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Caproiformes,,,Caproidae,Valid,Examined,Yes,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Lophiiformes,Ceratioidei,,Caulophrynidae,Valid,Not examined,_,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Centrarchiformes,Centrarchoidei,,Centrarchidae,Valid,Examined,Yes,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Incertae sedis in Eupercaria,,,Centrogenyidae,Valid,Examined,Monotypic*,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Lophiiformes,Ceratioidei,,Centrophrynidae,Valid,Not examined,_,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Priacanthiformes,,,Cepolidae,Valid,Examined,Yes,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Lophiiformes,Ceratioidei,,Ceratiidae,Valid,Examined,Yes,
